1600, 00-13-a2-00-40-a1-ee-d3,0,64,53,0,32,39,0,30,24,32,19,16,19,16,19,8,19,16,0,8,8,0,0,0,19,8,8,8,0,0,0,0,8,0,1
1600, 00-13-a2-00-40-a1-f1-43,2,64,90,78,30,27,0,8,25,16,19,0,19,0,0,0,16,19,0,0,0,0,8,0,0,0,8,0,8,0,8,0,0,0,2
1600, 00-13-a2-00-40-98-98-4f,0,64,16,37,16,30,0,35,24,25,19,19,0,19,0,8,19,16,0,0,0,0,8,0,0,8,0,8,0,8,8,0,8,0,3
1600, 00-13-a2-00-40-a1-ee-d3,1,64,0,48,33,25,24,0,25,30,0,19,19,0,24,8,19,19,0,0,0,8,0,0,0,8,8,0,8,8,8,8,8,8,4
1600, 00-13-a2-00-40-a1-f1-43,0,64,16,35,16,35,0,24,19,25,0,16,0,19,0,0,19,19,0,8,0,19,0,8,0,0,0,0,0,8,0,0,8,8,5
1600, 00-13-a2-00-40-98-98-4f,1,64,48,41,24,33,0,30,27,27,0,8,24,16,0,19,27,19,0,8,0,8,0,19,8,8,0,8,8,0,0,8,8,8,6
1600, 00-13-a2-00-40-a1-ee-d3,2,64,84,73,25,33,19,16,27,16,19,8,19,0,8,19,19,27,0,0,8,0,8,0,8,0,0,0,8,0,8,0,8,8,7
1600, 00-13-a2-00-40-a1-f1-43,1,64,16,43,0,33,0,35,0,25,0,16,0,16,0,19,0,16,0,8,0,8,0,8,0,0,0,0,0,0,0,8,0,0,8
1600, 00-13-a2-00-40-98-98-4f,2,64,92,79,30,25,0,24,24,30,0,8,16,0,0,0,24,19,0,0,0,0,0,8,8,0,0,19,0,0,0,8,8,8,9
1600, 00-13-a2-00-40-a1-ee-d3,0,64,32,43,24,30,16,24,30,24,0,8,0,16,19,19,19,19,0,0,8,0,0,19,0,19,0,8,0,0,8,8,8,8,10
1600, 00-13-a2-00-40-a1-f1-43,2,64,91,79,16,16,0,19,27,27,0,19,8,0,0,19,19,19,0,8,0,0,0,19,8,0,0,8,0,0,0,8,8,8,11
1600, 00-13-a2-00-40-98-98-4f,0,64,16,40,0,16,16,24,0,24,0,19,0,19,0,0,0,27,0,0,0,0,19,0,0,19,0,8,0,8,8,0,0,8,12
1600, 00-13-a2-00-40-a1-ee-d3,1,64,0,37,16,16,24,30,27,24,16,19,0,24,16,19,19,19,0,0,0,8,0,0,8,19,8,8,0,8,8,8,8,8,13
