15.625, 35
31.25, 0
46.875, 35
62.5, 0
78.125, 16
93.75, 0
109.375, 27
125.0, 0
140.625, 0
156.25, 0
171.875, 0
187.5, 0
203.125, 19
218.75, 0
234.375, 19
250.0, 0
265.625, 8
281.25, 0
296.875, 8
312.5, 0
328.125, 0
343.75, 0
359.375, 8
375.0, 0
390.625, 0
406.25, 0
421.875, 0
437.5, 0
453.125, 8
468.75, 0
484.375, 8
15.625, 35
31.25, 0
46.875, 35
62.5, 0
78.125, 27
93.75, 0
109.375, 27
125.0, 0
140.625, 0
156.25, 0
171.875, 19
187.5, 0
203.125, 19
218.75, 0
234.375, 19
250.0, 0
265.625, 8
281.25, 0
296.875, 19
312.5, 0
328.125, 8
343.75, 0
359.375, 8
375.0, 0
390.625, 0
406.25, 0
421.875, 8
437.5, 0
453.125, 8
468.75, 0
484.375, 8
15.625, 35
31.25, 0
46.875, 35
62.5, 0
78.125, 27
93.75, 0
109.375, 27
125.0, 0
140.625, 0
156.25, 0
171.875, 19
187.5, 0
203.125, 19
218.75, 0
234.375, 19
250.0, 0
265.625, 8
281.25, 0
296.875, 19
312.5, 0
328.125, 8
343.75, 0
359.375, 8
375.0, 0
390.625, 0
406.25, 0
421.875, 8
437.5, 0
453.125, 8
468.75, 0
484.375, 8
15.625, 35
31.25, 16
46.875, 0
62.5, 24
78.125, 27
93.75, 27
109.375, 24
125.0, 0
140.625, 0
156.25, 19
171.875, 0
187.5, 19
203.125, 19
218.75, 19
234.375, 19
250.0, 0
265.625, 8
281.25, 0
296.875, 8
312.5, 8
328.125, 8
343.75, 8
359.375, 8
375.0, 0
390.625, 0
406.25, 8
421.875, 8
437.5, 8
453.125, 8
468.75, 8
484.375, 8
15.625, 0
31.25, 0
46.875, 0
62.5, 0
78.125, 0
93.75, 0
109.375, 0
125.0, 0
140.625, 0
156.25, 0
171.875, 0
187.5, 0
203.125, 0
218.75, 0
234.375, 0
250.0, 0
265.625, 0
281.25, 8
296.875, 0
312.5, 0
328.125, 0
343.75, 8
359.375, 0
375.0, 0
390.625, 0
406.25, 8
421.875, 0
437.5, 0
453.125, 0
468.75, 8
484.375, 0
15.625, 40
31.25, 0
46.875, 30
62.5, 24
78.125, 24
93.75, 30
109.375, 16
125.0, 0
140.625, 0
156.25, 0
171.875, 19
187.5, 16
203.125, 19
218.75, 8
234.375, 16
250.0, 0
265.625, 0
281.25, 0
296.875, 0
312.5, 0
328.125, 8
343.75, 0
359.375, 0
375.0, 0
390.625, 8
406.25, 0
421.875, 8
437.5, 8
453.125, 8
468.75, 0
484.375, 8
15.625, 35
31.25, 16
46.875, 8
62.5, 30
78.125, 27
93.75, 16
109.375, 27
125.0, 0
140.625, 0
156.25, 19
171.875, 8
187.5, 16
203.125, 19
218.75, 19
234.375, 19
250.0, 0
265.625, 8
